,level_0,index,Unnamed: 0,latitude,longitude
0,0,0,0,59.2823 ,10.33004
1,1,1,1,39.4803 ,-97.64928
2,2,2,2,55.611735 ,37.665831
3,3,3,3,29.961078 ,-81.340501
4,4,4,4,30.04479 ,-98.039313
5,5,5,5,27.557585 ,80.699477
6,6,6,6,50.422389 ,30.505906
7,7,8,8,40.393715 ,-3.676087
8,8,9,9,40.416024 ,-3.696213
9,9,11,11,36.718612 ,-4.496911
10,10,17,17,12.4989 ,124.6377
11,11,22,22,-12.763924 ,-40.969305
12,12,23,23,38.09032 ,-92.29267
13,13,24,24,14.18455 ,12.003467
14,14,25,25,41.311421 ,19.446037
15,15,29,29,14.718301 ,-17.27781
16,16,32,32,-13.716985 ,-76.205805
17,17,33,33,26.407384 ,93.25513
18,18,38,38,28.486359 ,-16.317929
19,19,39,39,41.648971 ,-4.713868
20,20,40,40,40.483359 ,-3.667923
21,21,41,41,59.927468 ,40.396485
22,22,44,44,40.927641 ,-8.572243
23,23,47,47,53.16667 ,-7.02121
24,24,49,49,43.045331 ,-9.246803
25,25,50,50,20.646389 ,-103.413621
26,26,52,52,40 ,-4
27,27,54,54,9.427095 ,49.002487
28,28,58,58,31.31517 ,-85.85522
29,29,59,59,41.76797 ,-76.442844
30,30,60,60,45.16667 ,15.5
31,31,62,62,38.009583 ,-3.369091
32,32,63,63,22 ,-102.5
33,33,64,64,44.432114 ,26.105103
34,34,65,65,36.713508 ,-4.432622
35,35,67,67,52.01991 ,-128.27791
36,36,69,69,9.598 ,138.1665
37,37,74,74,-34.623945 ,-58.427
38,38,76,76,55.857808 ,48.819654
39,39,78,78,48.877368 ,2.330422
40,40,79,79,48.829077 ,2.237703
41,41,81,81,40 ,-4
42,42,83,83,29.773333 ,-95.215543
43,43,84,84,50.985836 ,-0.273958
44,44,86,86,52.097217 ,5.0646
45,45,90,90,5.343059 ,-3.989415
46,46,93,93,2.384034 ,30.920685
47,47,95,95,50.106603 ,8.669371
48,48,96,96,52.845879 ,8.040395
49,49,97,97,42.83333 ,12.83333
50,50,98,98,32.793686 ,-97.407725
51,51,99,99,35.463688 ,-97.604454
52,52,100,100,28.136787 ,-16.670687
53,53,102,102,48.698425 ,9.165179
54,54,103,103,38.46806 ,106.27306
55,55,106,106,22.681197 ,75.879578
56,56,107,107,8.4115 ,-75.58508
57,57,108,108,55.835634 ,37.954136
58,58,109,109,38.46806 ,106.27306
59,59,110,110,14.571417 ,120.983441
60,60,111,111,30.60497 ,-87.898838
61,61,112,112,45.285795 ,-75.935494
62,62,113,113,43.83768 ,7.85849
63,63,117,117,13.791835 ,121.070425
64,64,118,118,12.936882 ,77.582079
65,65,120,120,8.5 ,-11.5
66,66,122,122,14.102352 ,122.843792
67,67,125,125,42.24568 ,-122.78865
68,68,126,126,52.514157 ,-2.077159
69,69,128,128,8.035032 ,-76.336075
70,70,132,132,29.961078 ,-81.340501
71,71,133,133,40.393715 ,-3.676087
72,72,135,135,36.718612 ,-4.496911
73,73,137,137,37.540601 ,-5.079589
74,74,138,138,12.4989 ,124.6377
75,75,140,140,40.483359 ,-3.667923
76,76,141,141,40 ,-4
77,77,142,142,48.181161 ,11.585906
78,78,143,143,38.345192 ,-0.527115
79,79,144,144,24.433143 ,90.496538
80,80,146,146,53.124575 ,8.711679
81,81,147,147,51.347247 ,9.462564
82,82,148,148,18.442154 ,-69.976878
83,83,149,149,50.480869 ,9.730465
